Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_0402_1005Metric,139.7,-41.755,-90.0,top
C2,10uF,C_0603_1608Metric,139.5984,-38.1886,-90.0,top
C3,1uF,C_0402_1005Metric,138.3792,-38.5064,-90.0,top
C4,C_Small,C_0402_1005Metric,137.16,-41.755,-90.0,top
C5,100nF,C_0402_1005Metric,137.414,-38.5064,-90.0,top
C6,100nF,C_0402_1005Metric,130.1496,-43.7388,180.0,top
C7,100pF,C_0402_1005Metric,134.7724,-44.1452,90.0,top
C8,1uF,C_0402_1005Metric,133.7564,-44.1452,90.0,top
C9,C_Small,C_0402_1005Metric,133.0198,-46.1264,-90.0,top
C10,C_Small,C_0402_1005Metric,130.7846,-48.0822,0.0,top
C11,100nF,C_0402_1005Metric,130.9116,-33.274,90.0,top
C12,100nF,C_0402_1005Metric,128.4732,-44.6252,90.0,top
C13,100nF,C_0402_1005Metric,126.0856,-34.4932,180.0,top
C14,100nF,C_0402_1005Metric,125.6792,-37.6936,-90.0,top
C15,1uF,C_0402_1005Metric,125.6792,-35.8648,90.0,top
C16,100n,C_0402_1005Metric,117.8052,-52.6288,0.0,top
C17,100n,C_0402_1005Metric,110.7668,-54.0512,180.0,top
C18,10u,C_0603_1608Metric,46.0248,-52.959,180.0,top
C19,10u,C_0603_1608Metric,46.0372,-50.673,180.0,top
C20,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.376,-52.07,90.0,top
C21,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.3656,-56.896,90.0,top
C22,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.598,-52.07,90.0,top
C23,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.042,-56.896,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,24.1046,-26.3906,90.0,top
L1,L_Small,L_0402_1005Metric,138.43,-41.275,180.0,top
L2,2.0nH,L_0402_1005Metric,135.763,-39.7256,45.0,top
PD1,BH1730,WSOF6,114.6048,-54.5592,-90.0,top
Q1,Q_PMOS_GSD,SOT-523,84.201,-56.769,-90.0,top
Q2,Q_NMOS_GDS,SOT-523,87.5284,-55.5244,180.0,top
R1,100,R_0402_1005Metric,35.56,-20.828,90.0,top
R2,100,R_0402_1005Metric,33.02,-20.828,90.0,top
R3,100,R_0402_1005Metric,35.56,-55.372,-90.0,top
R4,100,R_0402_1005Metric,38.1,-55.372,-90.0,top
R5,100,R_0402_1005Metric,40.64,-55.372,-90.0,top
R6,100,R_0402_1005Metric,40.64,-20.828,90.0,top
R7,100,R_0402_1005Metric,43.18,-20.828,90.0,top
R8,1000,R_0402_1005Metric,38.1,-20.828,90.0,top
R9,4k7,R_0402_1005Metric,89.2048,-55.5244,90.0,top
R10,4k7,R_0402_1005Metric,85.852,-55.5244,90.0,top
R11,4k7,R_0402_1005Metric,84.201,-54.991,180.0,top
R12,100,R_0402_1005Metric,66.167,-20.828,90.0,top
R13,100,R_0402_1005Metric,63.627,-20.828,90.0,top
R14,100,R_0402_1005Metric,66.167,-55.372,-90.0,top
R15,100,R_0402_1005Metric,68.707,-55.372,-90.0,top
R16,100,R_0402_1005Metric,71.247,-55.372,-90.0,top
R17,100,R_0402_1005Metric,71.247,-20.828,90.0,top
R18,100,R_0402_1005Metric,73.787,-20.828,90.0,top
R19,1000,R_0402_1005Metric,68.707,-20.828,90.0,top
R20,100,R_0402_1005Metric,96.774,-20.828,90.0,top
